"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","240050009","4","12.5","ppb","11","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/02/2022","AQS","240050009","4","13.8","ppb","12","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/03/2022","AQS","240050009","4","26.2","ppb","25","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/04/2022","AQS","240050009","4","30.7","ppb","28","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/05/2022","AQS","240050009","4","31.7","ppb","29","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/06/2022","AQS","240050009","4","29.3","ppb","27","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/07/2022","AQS","240050009","4","13.5","ppb","12","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/08/2022","AQS","240050009","4","26.6","ppb","25","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/09/2022","AQS","240050009","4","22","ppb","21","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/10/2022","AQS","240050009","4","24.9","ppb","23","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/11/2022","AQS","240050009","4","35.5","ppb","33","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"01/12/2022","AQS","240050009","4","37.5","ppb","35","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
